season,matches,innings,runs,batting_average,strike_rate,fours,sixes,fifties,hundreds,highest_score,catches,wickets,bowling_average,economy_rate,bowling_strike_rate,best_bowling,highest_score_num,highest_score_notout,best_bowling_wickets,best_bowling_runs,player_id,_outlier,total_runs,total_wickets,batting_impact,bowling_impact,consistency_score,overall_performance_score,performance_category,career_matches,career_innings,career_runs,career_wickets,career_fifties,career_hundreds,career_catches,seasons_played
2011,1,1,14,14.0,140.0,2,0,0,0,14,0,0,0.0,0.0,0.0,,14,0,0,0,363,0,405,15,0.0228785360710069,0.0,3.510659808079642,1.1166771046000754,Poor,47,34,405,15,0,0,0,7
2012,11,8,75,12.5,131.57,4,5,0,0,26,0,1,12.0,6.0,12.0,3/25,26,0,3,25,363,0,405,15,0.1028424171847243,0.3951909760043404,3.510659808079642,1.2672199496963217,Poor,47,34,405,15,0,0,0,7
2013,4,2,3,1.5,25.0,0,0,0,0,2,0,1,22.0,7.33,18.0,3/25,2,0,3,25,363,0,405,15,9.379866366236924e-05,0.1764464237361723,3.510659808079642,1.1604971367141692,Poor,47,34,405,15,0,0,0,7
2014,5,3,31,10.33,81.57,2,1,0,0,21,0,1,83.0,8.89,56.0,3/25,21,0,3,25,363,0,405,15,0.0217789331775173,0.0385620099855154,3.510659808079642,1.1278058664272055,Poor,47,34,405,15,0,0,0,7
2009,5,5,81,20.25,119.11,11,0,0,0,39,0,0,0.0,0.0,0.0,,39,0,0,0,364,0,81,0,0.1628929901444055,0.0,3.263529849358378,1.0947195422267415,Poor,5,5,81,0,0,0,0,1
2014,8,8,394,56.28,135.39,43,14,3,1,100*,0,1,34.0,11.33,18.0,1/34,100,1,1,34,365,0,1079,1,2.5031162698300835,0.0738636371682791,2.733176551251341,1.8856546941817327,Poor,29,29,1079,1,11,1,0,4
2015,13,13,540,45.0,122.44,56,21,6,0,71,0,0,0.0,0.0,0.0,,71,0,0,0,365,0,1079,1,2.4806969848257863,0.0,2.733176551251341,1.8545278890606571,Poor,29,29,1079,1,11,1,0,4
2016,1,1,8,8.0,100.0,0,1,0,0,8,0,0,0.0,0.0,0.0,,8,0,0,0,365,0,1079,1,0.0053361017133931,0.0,2.733176551251341,0.8643835368058441,Poor,29,29,1079,1,11,1,0,4
2017,7,7,137,19.57,122.32,10,8,2,0,66,0,0,0.0,0.0,0.0,,66,0,0,0,365,0,1079,1,0.2734342983896309,0.0,2.733176551251341,0.9716228153691,Poor,29,29,1079,1,11,1,0,4
2026,2,2,7,3.5,87.5,0,0,0,0,7,0,0,0.0,0.0,0.0,,7,0,0,0,366,0,7,0,0.0017873856357308,0.0,3.231727729217035,1.0202445240342126,Poor,2,2,7,0,0,0,0,1
2019,4,4,71,23.66,147.91,6,5,0,0,44,0,0,0.0,0.0,0.0,,44,0,0,0,367,0,1067,13,0.2071642206306156,0.0,3.517950665292896,1.1926914621260623,Poor,51,49,1067,13,7,0,18,7
2021,5,5,42,8.4,102.43,3,1,0,0,25,0,0,0.0,0.0,0.0,,25,0,0,0,367,0,1067,13,0.0301300514976167,0.0,3.517950665292896,1.1218777945436764,Poor,51,49,1067,13,7,0,18,7
2022,14,14,437,36.42,182.08,29,34,4,0,70,5,6,33.66,8.78,23.0,27/3,70,0,27,3,367,0,1067,13,2.4161714450681515,0.5776730875444426,3.517950665292896,2.2495962771075044,Average,51,49,1067,13,7,0,18,7
2023,9,9,279,34.88,163.15,20,19,2,0,94,3,2,47.0,13.42,21.0,19/1,94,0,19,1,367,0,1067,13,1.3237680105142566,0.0902233889524103,3.517950665292896,1.6663999942915333,Poor,51,49,1067,13,7,0,18,7
2024,7,7,111,22.2,142.3,8,7,0,0,38*,1,3,28.0,7.0,24.0,19/2,38,1,19,2,367,0,1067,13,0.2923647288148417,0.435516583208341,3.517950665292896,1.3574266401975197,Poor,51,49,1067,13,7,0,18,7
2025,10,8,112,16.0,133.33,4,9,1,0,54,4,2,38.0,8.44,27.0,28/2,54,0,28,2,367,0,1067,13,0.1992094832443688,0.1774367059115572,3.517950665292896,1.2427405788949815,Poor,51,49,1067,13,7,0,18,7
2026,2,2,15,7.5,60.0,0,1,0,0,14,5,0,0.0,0.0,0.0,,14,0,0,0,367,0,1067,13,0.0056279197734056,0.0,3.517950665292896,1.1120769418637928,Poor,51,49,1067,13,7,0,18,7
2018,7,2,1,1.0,33.33,0,0,0,0,1*,0,4,56.25,9.0,37.5,3/17,1,1,3,17,368,0,1,4,2.7789417696153986e-05,0.2248197538241583,3.28473126278594,1.1037079057166728,Poor,7,2,1,4,0,0,0,1
2023,1,1,4,4.0,100.0,1,0,0,0,4,0,0,0.0,0.0,0.0,,4,0,0,0,369,0,4,0,0.0013340254316833,0.0,3.2211270225032544,1.0167189211349417,Poor,1,1,4,0,0,0,0,1
2024,2,1,1,0.0,50.0,0,0,0,0,1*,1,1,72.0,12.0,36.0,38/1,1,1,38,1,370,0,1,1,4.168829495271534e-13,0.0329325813840086,3.231727729217035,1.0294093441861247,Poor,2,1,1,1,0,0,1,1
2017,4,1,1,0.0,100.0,0,0,0,0,1*,0,3,31.0,7.15,26.0,3/15,1,1,3,15,371,0,68,43,8.337658989709301e-13,0.385117303470983,2.7419499940263066,0.9805520896259518,Poor,37,10,68,43,0,0,6,5
2020,5,2,43,0.0,148.27,4,1,0,0,24*,0,6,24.66,7.46,19.83,3/15,24,1,3,15,371,0,68,43,5.3157661510435586e-11,0.9280232629711131,2.7419499940263066,1.1434238773340484,Poor,37,10,68,43,0,0,6,5
2021,8,3,18,0.0,163.63,1,1,0,0,18*,0,13,17.23,7.46,13.84,3/15,18,1,3,15,371,0,68,43,2.4557240295865958e-11,2.877787747381147,2.7419499940263066,1.7283532220606892,Poor,37,10,68,43,0,0,6,5
2022,13,3,5,2.5,125.0,1,0,0,0,5,2,12,35.58,8.95,23.83,28/4,5,0,28,4,371,0,68,43,0.0013027592119049,1.072239443143257,2.7419499940263066,1.1872098350054046,Poor,37,10,68,43,0,0,6,5
2024,7,1,1,1.0,100.0,0,0,0,0,1,4,9,28.33,10.62,16.0,23/2,1,0,23,2,371,0,68,43,8.337659073085888e-05,0.8511594600467964,2.7419499940263066,1.1203980870948085,Poor,37,10,68,43,0,0,6,5
2008,5,5,152,152.0,153.53,13,9,1,0,79*,0,0,0.0,0.0,0.0,,79,1,0,0,373,0,302,0,2.9574986156589778,0.0,2.8061342115983994,2.0682648650702795,Average,17,16,302,0,1,0,0,4
2009,4,4,41,10.25,83.67,3,1,0,0,26,0,0,0.0,0.0,0.0,,26,0,0,0,373,0,302,0,0.0293171410034421,0.0,2.8061342115983994,0.8969922763793376,Poor,17,16,302,0,1,0,0,4
2011,5,4,51,12.75,130.76,4,2,0,0,29,0,0,0.0,0.0,0.0,,29,0,0,0,373,0,302,0,0.0708923539832837,0.0,2.8061342115983994,0.9136223615546442,Poor,17,16,302,0,1,0,0,4
2013,3,3,58,29.0,98.3,5,1,0,0,33*,0,0,0.0,0.0,0.0,,33,1,0,0,373,0,302,0,0.1378553526883823,0.0,2.8061342115983994,0.9404075610098984,Poor,17,16,302,0,1,0,0,4
2008,4,4,34,8.5,106.25,6,1,0,0,13,0,0,0.0,0.0,0.0,,13,0,0,0,374,0,34,0,0.025601823916757,0.0,1.7166968526953263,0.5518158096131818,Poor,5,5,34,0,0,0,0,2
2009,1,1,0,0.0,0.0,0,0,0,0,0*,0,0,0.0,0.0,0.0,,0,1,0,0,374,0,34,0,8.337658905498946e-31,0.0,1.7166968526953263,0.5415750800567197,Poor,5,5,34,0,0,0,0,2
2024,2,1,9,0.0,300.0,0,1,0,0,9*,0,1,93.0,15.5,36.0,68/1,9,1,68,1,375,0,9,1,2.251167907061052e-11,0.0197389873895456,3.231727729217035,1.025451266000582,Poor,2,1,9,1,0,0,0,1
2013,6,6,106,21.2,176.66,16,3,0,0,44,0,2,50.0,10.16,29.5,1/12,44,0,1,12,376,0,106,2,0.3309970145810893,0.1120226384546524,3.274130556072159,1.198912202254796,Poor,6,6,106,2,0,0,0,1
2026,12,3,4,2.0,57.14,0,0,0,0,3,0,13,26.15,8.22,19.07,27/3,3,0,27,3,379,0,4,13,0.0003811310668133,1.7208354871014049,3.337734796354845,1.5693752559997163,Poor,12,3,4,13,0,0,0,1
